date,geography,geography code,Highest level of qualification: Total: All usual residents aged 16 years and over,Highest level of qualification: No qualifications,Highest level of qualification: Level 1 and entry level qualifications,Highest level of qualification: Level 2 qualifications,Highest level of qualification: Apprenticeship,Highest level of qualification: Level 3 qualifications,Highest level of qualification: Level 4 qualifications and above,Highest level of qualification: Other qualifications
2021,Sheffield,E08000019,456250,88425,41454,53589,24865,84712,152194,11011
2021,Newcastle upon Tyne,E08000021,248450,46232,19729,25891,11943,52768,86063,5824
2021,North Tyneside,E08000022,171512,29968,16025,24300,11773,28969,56375,4102
2021,South Tyneside,E08000023,121292,24849,12323,17393,9706,22265,31707,3049
2021,Sunderland,E08000024,226071,51666,24530,33553,16312,38679,55532,5799
2021,Birmingham,E08000025,889623,212198,90079,111212,32425,152046,265806,25857
2021,Coventry,E08000026,276873,53671,27542,34920,14284,52525,84691,9240
2021,Dudley,E08000027,262488,60569,28475,39480,15703,45064,65589,7608
2021,Sandwell,E08000028,266028,76839,30586,36175,12758,39465,60316,9889
2021,Solihull,E08000029,174503,30642,16623,24691,8069,28266,61847,4365
2021,Walsall,E08000030,223100,58781,25619,31738,11823,35038,52903,7198
2021,Wolverhampton,E08000031,208441,52803,22947,28741,10241,31391,54712,7606
2021,Bradford,E08000032,421574,101122,46051,57458,22777,66275,115663,12228
2021,Calderdale,E08000033,166634,31965,16313,23351,10524,29096,51419,3966
2021,Kirklees,E08000034,346274,71832,33776,46112,21655,60187,103532,9180
2021,Leeds,E08000035,658468,119597,60190,79192,34353,120782,228358,15996
2021,Wakefield,E08000036,287539,70233,31086,42945,18709,46794,69797,7975
2021,Gateshead,E08000037,161746,34975,16022,22280,11629,27436,45246,4158
2021,City of London,E09000001,8006,529,223,392,80,708,5939,135
2021,Barking and Dagenham,E09000002,161746,36796,16752,20367,6260,21819,53791,5961
2021,Barnet,E09000003,309354,47762,21302,30687,9630,38541,151642,9790
2021,Bexley,E09000004,195825,35582,21413,28535,10225,32511,61837,5722
2021,Brent,E09000005,275143,59770,24296,26148,9529,34338,109998,11064
2021,Bromley,E09000006,265088,36581,23030,35258,10559,39420,113508,6732
2021,Camden,E09000007,177909,20948,8996,12776,3402,25154,101932,4701
2021,Croydon,E09000008,310397,49877,28370,38241,11786,45535,127342,9246
2021,Ealing,E09000009,295371,52925,23821,27461,10012,37920,130981,12251
