"date","geography","geography code","Household deprivation: Total: All households; measures: Value","Household deprivation: Household is not deprived in any dimension; measures: Value","Household deprivation: Household is deprived in one dimension; measures: Value","Household deprivation: Household is deprived in two dimensions; measures: Value","Household deprivation: Household is deprived in three dimensions; measures: Value","Household deprivation: Household is deprived in four dimensions; measures: Value"
"2021","Leicestershire","E10000018",296408,156992,97369,35066,6682,299
"2021","Lincolnshire","E10000019",333552,154886,117909,49200,10973,584
"2021","Nottinghamshire","E10000024",357122,173688,119397,51286,12217,534
"2021","North Northamptonshire","E06000061",148916,72737,50657,20356,4918,248
"2021","West Northamptonshire","E06000062",172641,89483,57289,20930,4659,280
"2021","Herefordshire, County of","E06000019",82825,40941,28690,10761,2284,149
"2021","Shropshire","E06000051",139579,70872,47508,17359,3697,143
"2021","Stoke-on-Trent","E06000021",110400,45368,38581,20120,6068,263
"2021","Telford and Wrekin","E06000020",76510,35190,25928,12129,3138,125
"2021","Staffordshire","E10000028",375221,184769,126301,52232,11443,476
"2021","Warwickshire","E10000031",253262,133179,82567,30302,6844,370
"2021","Birmingham","E08000025",423456,171117,146765,78859,25045,1670
"2021","Coventry","E08000026",134140,60360,45659,21411,6219,491
"2021","Dudley","E08000027",137073,60524,47358,23098,5837,256
"2021","Sandwell","E08000028",130244,49388,46056,26244,8161,395
"2021","Solihull","E08000029",89483,45378,28916,12109,2915,165
"2021","Walsall","E08000030",112226,45129,39289,21212,6280,316
"2021","Wolverhampton","E08000031",105141,42414,37053,19711,5649,314
"2021","Worcestershire","E10000034",259933,130846,87278,33757,7594,458
"2021","Bedford","E06000055",74950,38704,24497,9293,2224,232
"2021","Central Bedfordshire","E06000056",120754,66142,38934,12938,2607,133
"2021","Luton","E06000032",78940,32610,28763,13520,3732,315
"2021","Peterborough","E06000031",84533,38082,29514,13102,3578,257
"2021","Southend-on-Sea","E06000033",78344,35711,27058,11979,3277,319
"2021","Thurrock","E06000034",66377,30305,23194,10204,2500,174
"2021","Cambridgeshire","E10000003",277634,148223,90740,31707,6638,326
"2021","Essex","E10000012",626472,307011,213515,85342,19278,1326
"2021","Hertfordshire","E10000015",482894,258981,154819,55829,12340,925
"2021","Norfolk","E10000020",404341,185744,145026,59320,13468,783
"2021","Suffolk","E10000029",333543,161384,117239,44500,9860,560
"2021","Camden","E09000007",92759,44082,29601,13535,4938,603
"2021","City of London","E09000001",4914,2937,1547,347,75,8
"2021","Hackney","E09000012",106081,47686,34486,16971,6333,605
"2021","Hammersmith and Fulham","E09000013",81244,41748,25243,10555,3319,379
"2021","Haringey","E09000014",105095,45524,35580,17629,5755,607
"2021","Islington","E09000019",96496,46657,29403,14577,5409,450
"2021","Kensington and Chelsea","E09000020",66884,35174,20245,8121,2918,426
"2021","Lambeth","E09000022",134688,67366,42725,18625,5499,473
"2021","Lewisham","E09000023",122392,57783,39762,18556,5755,536
"2021","Newham","E09000025",115507,45399,41296,21230,7081,501
"2021","Southwark","E09000028",130818,63507,41817,19018,6066,410
"2021","Tower Hamlets","E09000030",120539,55936,38337,18685,7054,527
"2021","Wandsworth","E09000032",137392,80186,38272,14425,4113,396
"2021","Westminster","E09000033",94815,47540,28839,12728,5025,683
"2021","Barking and Dagenham","E09000002",73902,27781,27396,14090,4348,287
"2021","Barnet","E09000003",148921,73825,49136,19877,5415,668
"2021","Bexley","E09000004",95299,46238,32625,13232,2998,206
"2021","Brent","E09000005",118612,47376,43300,21017,6328,591
"2021","Bromley","E09000006",135827,74219,42434,15360,3586,228
"2021","Croydon","E09000008",152946,73406,51772,21635,5581,552
"2021","Ealing","E09000009",133658,61527,45652,20275,5686,518
"2021","Enfield","E09000010",120920,51013,43120,20209,6012,566
"2021","Greenwich","E09000011",114052,55022,36619,16601,5382,428
"2021","Harrow","E09000015",89642,43681,30953,12012,2763,233
"2021","Havering","E09000016",101277,47903,34966,14859,3337,212
"2021","Hillingdon","E09000017",109228,50136,38207,16448,4110,327
"2021","Hounslow","E09000018",102961,45406,36270,16488,4377,420
"2021","Kingston upon Thames","E09000021",65626,36639,20274,7045,1552,116
"2021","Merton","E09000024",81729,44057,25596,9632,2276,168
"2021","Redbridge","E09000026",103713,47994,36254,15319,3869,277
"2021","Richmond upon Thames","E09000027",80705,49261,22644,6992,1678,130
"2021","Sutton","E09000029",82348,41892,27257,10463,2549,187
"2021","Waltham Forest","E09000031",102901,46576,34786,16559,4600,380
"2021","Bracknell Forest","E06000036",50248,28327,15641,5132,1069,79
"2021","Brighton and Hove","E06000043",121401,58122,40060,17461,5195,563
"2021","Isle of Wight","E06000046",64775,28569,23476,10070,2465,195
"2021","Medway","E06000035",111458,51808,38410,16523,4326,391
"2021","Milton Keynes","E06000042",113102,57966,36777,14442,3653,264
"2021","Portsmouth","E06000044",86155,40658,28802,12890,3524,281
"2021","Reading","E06000038",67683,34684,21772,8682,2350,195
"2021","Slough","E06000039",52424,22184,19176,8603,2293,168
"2021","Southampton","E06000045",102291,46401,35075,15830,4573,412
"2021","West Berkshire","E06000037",66658,37321,21058,6829,1365,85
"2021","Windsor and Maidenhead","E06000040",60933,35924,18161,5724,1071,53
"2021","Wokingham","E06000041",69164,42518,20173,5513,900,60
"2021","Buckinghamshire","E06000060",220328,125932,68311,21635,4208,242
"2021","East Sussex","E10000011",240118,112726,84740,34184,7807,661
"2021","Hampshire","E10000014",587694,315968,191865,65775,13220,866
"2021","Kent","E10000016",648393,315366,219861,89984,21581,1601
"2021","Oxfordshire","E10000025",288108,161160,91334,29194,6047,373
"2021","Surrey","E10000030",481819,275021,148618,47777,9670,733
"2021","West Sussex","E10000032",375216,191152,127067,46547,9638,812
"2021","Bath and North East Somerset","E06000022",79250,42870,25495,8952,1819,114
"2021","Bristol, City of","E06000023",191638,96135,60901,26503,7515,584
"2021","Cornwall","E06000052",250535,115522,88881,36692,8750,690
"2021","Isles of Scilly","E06000053",942,478,337,106,21,0
"2021","North Somerset","E06000024",94647,48754,31684,11454,2565,190
"2021","Plymouth","E06000026",114557,52100,38898,18228,5049,282
"2021","Bournemouth, Christchurch and Poole","E06000058",173842,83966,59166,24231,5889,590
"2021","South Gloucestershire","E06000025",118101,63701,38638,13163,2454,145
"2021","Swindon","E06000030",95862,47251,32397,12869,3167,178
"2021","Torbay","E06000027",62994,26537,22606,10615,2984,252
"2021","Wiltshire","E06000054",215081,114886,70924,24198,4848,225
"2021","Devon","E10000008",352619,174977,122461,45351,9209,621
"2021","Dorset","E06000059",169258,84472,59229,21130,4136,291
"2021","Gloucestershire","E10000013",279429,149300,90984,31889,6845,411
"2021","Somerset","E10000027",250122,125035,86027,31969,6762,329
"2021","Isle of Anglesey","W06000001",30822,14683,10519,4533,1057,30
"2021","Gwynedd","W06000002",51105,25361,17040,7064,1573,67
"2021","Conwy","W06000003",52235,24098,18173,7918,1956,90
"2021","Denbighshire","W06000004",42387,18992,14579,6929,1785,102
"2021","Flintshire","W06000005",66911,32748,22435,9486,2155,87
"2021","Wrexham","W06000006",57914,27134,19578,8774,2333,95
"2021","Powys","W06000023",60182,29223,20871,8317,1713,58
"2021","Ceredigion","W06000008",30893,14553,11019,4395,898,28
"2021","Pembrokeshire","W06000009",55488,25547,19262,8565,2017,97
"2021","Carmarthenshire","W06000010",81759,37050,27869,13425,3324,91
"2021","Swansea","W06000011",104962,47764,34960,16952,5106,180
"2021","Neath Port Talbot","W06000012",62373,25834,20716,11856,3858,109
"2021","Bridgend","W06000013",62359,28315,20477,10372,3104,91
"2021","Vale of Glamorgan","W06000014",57451,29294,18575,7648,1866,68
"2021","Cardiff","W06000015",147333,72088,46638,21326,6862,419
"2021","Rhondda Cynon Taff","W06000016",103337,43372,34175,19521,6066,203
"2021","Merthyr Tydfil","W06000024",25785,10364,8578,4955,1811,77
"2021","Caerphilly","W06000018",76257,32079,25365,14321,4358,134
"2021","Blaenau Gwent","W06000019",30340,11632,10104,6291,2256,57
"2021","Torfaen","W06000020",40241,17016,13738,7241,2166,80
"2021","Monmouthshire","W06000021",40925,21144,13592,5031,1115,43
"2021","Newport","W06000022",66054,30293,21796,10572,3204,189
