"date","geography","geography code","Household deprivation: Total: All households; measures: Value","Household deprivation: Household is not deprived in any dimension; measures: Value","Household deprivation: Household is deprived in one dimension; measures: Value","Household deprivation: Household is deprived in two dimensions; measures: Value","Household deprivation: Household is deprived in three dimensions; measures: Value","Household deprivation: Household is deprived in four dimensions; measures: Value"
"2021","East Lindsey","E07000137",64754,25757,23906,11962,2954,175
"2021","Lincoln","E07000138",42506,19193,14648,6678,1865,122
"2021","North Kesteven","E07000139",50989,26651,17158,6082,1062,36
"2021","South Holland","E07000140",40703,17927,15205,6323,1193,55
"2021","South Kesteven","E07000141",62850,32490,21181,7674,1445,60
"2021","West Lindsey","E07000142",42346,20854,14460,5705,1273,54
"2021","Ashfield","E07000170",54507,23517,18722,9613,2532,123
"2021","Bassetlaw","E07000171",51461,24096,17652,7728,1912,73
"2021","Broxtowe","E07000172",48361,24190,16338,6398,1384,51
"2021","Gedling","E07000173",51551,26151,16974,6905,1462,59
"2021","Mansfield","E07000174",48030,20410,16642,8443,2430,105
"2021","Newark and Sherwood","E07000175",53329,26200,17841,7447,1743,98
"2021","Rushcliffe","E07000176",49882,29124,15231,4752,754,21
"2021","Herefordshire, County of","E06000019",82825,40941,28690,10761,2284,149
"2021","Telford and Wrekin","E06000020",76510,35190,25928,12129,3138,125
"2021","Stoke-on-Trent","E06000021",110400,45368,38581,20120,6068,263
"2021","Shropshire","E06000051",139579,70872,47508,17359,3697,143
"2021","Cannock Chase","E07000192",43457,19804,14699,7105,1784,65
"2021","East Staffordshire","E07000193",51293,25318,17408,6879,1594,94
"2021","Lichfield","E07000194",45630,23731,14968,5762,1109,60
"2021","Newcastle-under-Lyme","E07000195",53423,24983,18223,8190,1947,80
"2021","South Staffordshire","E07000196",46121,23193,15515,6174,1204,35
"2021","Stafford","E07000197",60048,31816,19638,7075,1440,79
"2021","Staffordshire Moorlands","E07000198",42355,20892,14469,5822,1149,23
"2021","Tamworth","E07000199",32894,15032,11381,5225,1216,40
"2021","North Warwickshire","E07000218",27580,13032,9634,3992,887,35
"2021","Nuneaton and Bedworth","E07000219",56586,25493,19579,9027,2337,150
"2021","Rugby","E07000220",47016,25096,15539,5231,1106,44
"2021","Stratford-on-Avon","E07000221",59464,33604,18900,5822,1108,30
"2021","Warwick","E07000222",62618,35954,18917,6230,1406,111
"2021","Bromsgrove","E07000234",41264,22586,13220,4557,868,33
"2021","Malvern Hills","E07000235",34894,18380,11642,4108,731,33
"2021","Redditch","E07000236",36378,17057,12511,5375,1338,97
"2021","Worcester","E07000237",44720,22399,14795,5865,1553,108
"2021","Wychavon","E07000238",57356,29626,19350,6922,1375,83
"2021","Wyre Forest","E07000239",45322,20798,15760,6928,1730,106
"2021","Birmingham","E08000025",423456,171117,146765,78859,25045,1670
"2021","Coventry","E08000026",134140,60360,45659,21411,6219,491
"2021","Dudley","E08000027",137073,60524,47358,23098,5837,256
"2021","Sandwell","E08000028",130244,49388,46056,26244,8161,395
"2021","Solihull","E08000029",89483,45378,28916,12109,2915,165
"2021","Walsall","E08000030",112226,45129,39289,21212,6280,316
"2021","Wolverhampton","E08000031",105141,42414,37053,19711,5649,314
"2021","Peterborough","E06000031",84533,38082,29514,13102,3578,257
"2021","Luton","E06000032",78940,32610,28763,13520,3732,315
"2021","Southend-on-Sea","E06000033",78344,35711,27058,11979,3277,319
"2021","Thurrock","E06000034",66377,30305,23194,10204,2500,174
"2021","Bedford","E06000055",74950,38704,24497,9293,2224,232
"2021","Central Bedfordshire","E06000056",120754,66142,38934,12938,2607,133
"2021","Cambridge","E07000008",52472,29647,15868,5485,1390,82
"2021","East Cambridgeshire","E07000009",37201,19868,12385,4128,790,30
"2021","Fenland","E07000010",44084,18370,16471,7442,1702,99
"2021","Huntingdonshire","E07000011",76881,41205,25319,8576,1699,82
"2021","South Cambridgeshire","E07000012",66996,39133,20695,6077,1055,36
"2021","Basildon","E07000066",76363,35257,26222,11652,3011,221
"2021","Braintree","E07000067",64984,32486,22192,8442,1768,96
"2021","Brentwood","E07000068",32342,17935,10172,3465,716,54
"2021","Castle Point","E07000069",37389,16388,13761,5898,1265,77
